# x_m,y_m,w_tr_right_m,w_tr_left_m
7.5900,-5.6500,0.6325,0.6325
7.6400,-5.7000,0.6042,0.6042
7.6900,-5.7000,0.6103,0.6103
7.7400,-5.7500,0.6042,0.6042
7.7900,-5.7500,0.6042,0.6042
7.8400,-5.8000,0.6103,0.6103
7.8900,-5.8000,0.6185,0.6185
7.9400,-5.8000,0.6083,0.6083
7.9900,-5.8500,0.6519,0.6519
8.0400,-5.8500,0.6500,0.6500
8.0900,-5.9000,0.7000,0.7000
8.1400,-5.9500,0.6946,0.6946
8.1900,-5.9500,0.7071,0.7071
8.2400,-6.0000,0.7071,0.7071
8.2900,-6.0500,0.7071,0.7071
8.3400,-6.1000,0.7071,0.7071
8.3900,-6.1500,0.7071,0.7071
8.4400,-6.2000,0.6946,0.6946
8.4400,-6.2500,0.6946,0.6946
8.4900,-6.3000,0.7071,0.7071
8.5400,-6.3500,0.7071,0.7071
8.5900,-6.4000,0.7071,0.7071
8.6400,-6.4500,0.7071,0.7071
8.6900,-6.5000,0.7071,0.7071
8.7400,-6.5500,0.7071,0.7071
8.7900,-6.6000,0.6946,0.6946
8.8400,-6.6500,0.6801,0.6801
8.8400,-6.7000,0.6801,0.6801
8.8900,-6.7500,0.6946,0.6946
8.9400,-6.8000,0.7071,0.7071
8.9900,-6.8500,0.7071,0.7071
9.0400,-6.9000,0.7071,0.7071
9.0900,-6.9500,0.7071,0.7071
9.1400,-7.0000,0.7071,0.7071
9.1900,-7.0500,0.7071,0.7071
9.2400,-7.1000,0.7071,0.7071
9.2900,-7.1500,0.7071,0.7071
9.3400,-7.2000,0.7071,0.7071
9.3400,-7.2500,0.6946,0.6946
9.3900,-7.3000,0.7071,0.7071
9.4400,-7.3500,0.7071,0.7071
9.4900,-7.4000,0.7071,0.7071
9.5400,-7.4500,0.7071,0.7071
9.5900,-7.5000,0.7071,0.7071
9.6400,-7.5500,0.7071,0.7071
9.6900,-7.6000,0.7071,0.7071
9.6900,-7.6500,0.6946,0.6946
9.7400,-7.7000,0.7071,0.7071
9.7900,-7.7500,0.6801,0.6801
9.7900,-7.8000,0.6801,0.6801
9.7900,-7.8500,0.6519,0.6519
9.8400,-7.9000,0.6708,0.6708
9.8900,-7.9500,0.6727,0.6727
9.9400,-8.0000,0.6727,0.6727
9.9400,-8.0500,0.6519,0.6519
9.9900,-8.1000,0.6708,0.6708
10.0400,-8.1500,0.6671,0.6671
10.0400,-8.2000,0.6801,0.6801
10.0400,-8.2500,0.6671,0.6671
10.0400,-8.3000,0.6576,0.6576
10.0400,-8.3500,0.6519,0.6519
10.0400,-8.4000,0.6500,0.6500
10.0400,-8.4500,0.6519,0.6519
10.0900,-8.5000,0.7071,0.7071
10.0900,-8.5500,0.7159,0.7159
10.0900,-8.6000,0.7280,0.7280
10.0900,-8.6500,0.7433,0.7433
10.0900,-8.7000,0.7500,0.7500
10.0400,-8.7500,0.7071,0.7071
10.0400,-8.8000,0.7018,0.7018
9.9900,-8.8500,0.6500,0.6500
9.9900,-8.9000,0.6519,0.6519
9.9900,-8.9500,0.6500,0.6500
9.9900,-9.0000,0.6500,0.6500
9.9900,-9.0500,0.6500,0.6500
9.9900,-9.1000,0.6519,0.6519
9.9900,-9.1500,0.6576,0.6576
9.9900,-9.2000,0.6671,0.6671
9.9900,-9.2500,0.6801,0.6801
9.9900,-9.3000,0.6964,0.6964
9.9900,-9.3500,0.7000,0.7000
9.9900,-9.4000,0.7000,0.7000
9.9900,-9.4500,0.7000,0.7000
9.9900,-9.5000,0.7000,0.7000
9.9400,-9.5500,0.6964,0.6964
9.9400,-9.6000,0.7000,0.7000
9.9400,-9.6500,0.7000,0.7000
9.9400,-9.7000,0.7000,0.7000
9.9400,-9.7500,0.7000,0.7000
9.9400,-9.8000,0.7000,0.7000
9.9400,-9.8500,0.7000,0.7000
9.9400,-9.9000,0.7000,0.7000
9.9400,-9.9500,0.7000,0.7000
9.9400,-10.0000,0.7000,0.7000
9.9400,-10.0500,0.7000,0.7000
9.9400,-10.1000,0.7000,0.7000
9.9400,-10.1500,0.7000,0.7000
9.8900,-10.2000,0.6576,0.6576
9.8900,-10.2500,0.6671,0.6671
9.8900,-10.3000,0.6801,0.6801
9.8900,-10.3500,0.6964,0.6964
9.8900,-10.4000,0.7000,0.7000
9.8900,-10.4500,0.7000,0.7000
9.8900,-10.5000,0.7000,0.7000
9.8900,-10.5500,0.7000,0.7000
9.8900,-10.6000,0.7000,0.7000
9.8900,-10.6500,0.7000,0.7000
9.8900,-10.7000,0.7000,0.7000
9.8900,-10.7500,0.7000,0.7000
9.8400,-10.8000,0.6500,0.6500
9.8400,-10.8500,0.6500,0.6500
9.8400,-10.9000,0.6500,0.6500
9.8400,-10.9500,0.6519,0.6519
9.8400,-11.0000,0.6576,0.6576
9.8400,-11.0500,0.6671,0.6671
9.8400,-11.1000,0.6801,0.6801
9.8400,-11.1500,0.6964,0.6964
9.8400,-11.2000,0.7000,0.7000
9.8400,-11.2500,0.7000,0.7000
9.8400,-11.3000,0.7000,0.7000
9.8400,-11.3500,0.7000,0.7000
9.8400,-11.4000,0.7000,0.7000
9.8400,-11.4500,0.7000,0.7000
9.8400,-11.5000,0.7000,0.7000
9.7900,-11.5500,0.6519,0.6519
9.7900,-11.6000,0.6576,0.6576
9.7900,-11.6500,0.6671,0.6671
9.7900,-11.7000,0.6801,0.6801
9.7900,-11.7500,0.6964,0.6964
9.7900,-11.8000,0.7000,0.7000
9.7900,-11.8500,0.7000,0.7000
9.7900,-11.9000,0.7000,0.7000
9.7900,-11.9500,0.7000,0.7000
9.7900,-12.0000,0.7000,0.7000
9.7900,-12.0500,0.7000,0.7000
9.7900,-12.1000,0.7000,0.7000
9.7900,-12.1500,0.7000,0.7000
9.7900,-12.2000,0.7000,0.7000
9.7900,-12.2500,0.7000,0.7000
9.7400,-12.3000,0.6801,0.6801
9.7400,-12.3500,0.6964,0.6964
9.7400,-12.4000,0.7000,0.7000
9.7400,-12.4500,0.7000,0.7000
9.7400,-12.5000,0.7000,0.7000
9.7400,-12.5500,0.7000,0.7000
9.7400,-12.6000,0.7000,0.7000
9.7400,-12.6500,0.7000,0.7000
9.7400,-12.7000,0.7000,0.7000
9.7400,-12.7500,0.7000,0.7000
9.7400,-12.8000,0.7000,0.7000
9.7400,-12.8500,0.7000,0.7000
9.7400,-12.9000,0.7000,0.7000
9.7400,-12.9500,0.7000,0.7000
9.6900,-13.0000,0.6964,0.6964
9.6900,-13.0500,0.7018,0.7018
9.6900,-13.1000,0.7071,0.7071
9.6900,-13.1500,0.7159,0.7159
9.6900,-13.2000,0.7159,0.7159
